user_id,archetype,signup_date,daily_open_prob,funnel_depth,pass_rate,churn_day,avg_session_min,assigned_professor,timer_experiment,question_experiment,notification_experiment
u_00001,power_user,2025-01-07,0.8224882755418025,0.9757716536225203,0.9036930416872412,,14.052675184898632,prof_004,timer,5_questions,notification
u_00002,power_user,2025-01-10,0.8639520646100068,0.99,0.8509560932988243,,11.21224528923278,prof_008,timer,3_questions,notification
u_00003,power_user,2025-01-05,0.9231189060173008,0.99,0.7580447092471988,,12.905161837557197,prof_019,no_timer,3_questions,notification
u_00004,power_user,2025-01-12,0.8611039450782372,0.9116011749028461,0.8871232301193327,,11.9480217236586,prof_003,timer,3_questions,notification
u_00005,power_user,2025-01-09,0.8561109582611339,0.9242282168953773,0.8499873074947044,,13.421159731569958,prof_018,timer,5_questions,notification
u_00006,power_user,2025-01-05,0.8125461738278322,0.9110808996454552,0.9274421428859508,,14.37127587905854,prof_015,no_timer,3_questions,notification
u_00007,power_user,2025-01-08,0.8911272456051594,0.8889578175014489,0.8904431797502378,,9.060494814180338,prof_014,no_timer,5_questions,notification
u_00008,power_user,2025-01-10,0.8269267140912908,0.9533328639254312,0.871185716903712,,13.801339157924293,prof_007,no_timer,3_questions,notification
u_00009,power_user,2025-01-10,0.8609319158026931,0.99,0.8295457328567446,,9.625058679694668,prof_013,timer,5_questions,no_notification
u_00010,power_user,2025-01-02,0.9670373167051523,0.99,0.884820823951513,,12.628653158396464,prof_020,no_timer,3_questions,no_notification
u_00011,power_user,2025-01-13,0.8662041984697397,0.9307458859791842,0.846153899984702,,12.917514433261301,prof_018,timer,5_questions,notification
u_00012,power_user,2025-01-08,0.8965292200385551,0.9838883704836671,0.9149220129605481,,12.260403095497207,prof_018,no_timer,5_questions,notification
u_00013,power_user,2025-01-10,0.7745923355226259,0.99,0.8711133939364673,,11.38442503697055,prof_003,timer,3_questions,no_notification
u_00014,power_user,2025-01-08,0.897500269775359,0.99,0.9028942538500008,,9.473568932451178,prof_003,timer,3_questions,no_notification
u_00015,power_user,2025-01-03,0.8680818012523817,0.9177440122697438,0.8980697802754207,,14.307054849698954,prof_009,no_timer,5_questions,notification
u_00016,power_user,2025-01-14,0.98,0.9039804597466312,0.86006808049924,,11.908703868787882,prof_012,no_timer,3_questions,no_notification
u_00017,power_user,2025-01-13,0.8575244539055297,0.9443289374326802,0.95,,10.462363666783702,prof_003,timer,3_questions,notification
u_00018,power_user,2025-01-04,0.8390164056081244,0.9678556285755873,0.95,,11.22259467258953,prof_015,no_timer,5_questions,notification
u_00019,power_user,2025-01-04,0.8567876914738243,0.980404483100048,0.9152490655666361,,12.541385066386702,prof_011,timer,3_questions,notification
u_00020,power_user,2025-01-10,0.8750724165762402,0.99,0.892855843502814,,12.471769343794758,prof_011,no_timer,5_questions,notification
u_00021,power_user,2025-01-12,0.8981320644999851,0.93951537815815,0.8412978534626748,,11.460332782062018,prof_007,no_timer,3_questions,no_notification
u_00022,power_user,2025-01-09,0.8148973453061323,0.9336168926701115,0.8603945923433921,,9.804727577801822,prof_013,no_timer,3_questions,no_notification
u_00023,power_user,2025-01-04,0.7825305013383496,0.8990463607315965,0.8863506119685899,,10.12583441580011,prof_005,timer,5_questions,no_notification
u_00024,power_user,2025-01-14,0.8302241774209853,0.9355431571765028,0.9026468163266754,,11.750908637473401,prof_019,no_timer,5_questions,notification
u_00025,power_user,2025-01-06,0.8650661400474817,0.8770741539506621,0.8468630843310894,,11.780290789887575,prof_005,no_timer,3_questions,notification
u_00026,power_user,2025-01-10,0.7540614392350479,0.9486743062275391,0.8830115104970513,,15.69486316872793,prof_004,timer,3_questions,no_notification
u_00027,power_user,2025-01-06,0.8459956332323755,0.9379309934177893,0.95,,13.598690562823956,prof_020,timer,5_questions,no_notification
u_00028,power_user,2025-01-05,0.8669910482093321,0.9496309925027713,0.9183648419353202,,10.275311133758462,prof_020,no_timer,5_questions,notification
u_00029,power_user,2025-01-11,0.7839061524683281,0.9165876650433793,0.8731354498160365,,14.101982347040437,prof_004,no_timer,5_questions,notification
u_00030,power_user,2025-01-02,0.8793428546900135,0.99,0.8304731837434656,,11.150553405595842,prof_010,no_timer,3_questions,no_notification
u_00031,power_user,2025-01-13,0.8291771818224313,0.99,0.9159064139912355,,10.57279237402794,prof_001,no_timer,3_questions,notification
u_00032,power_user,2025-01-03,0.8139851003570593,0.9365033115462155,0.8728268885184656,,12.925505663572695,prof_010,timer,3_questions,no_notification
u_00033,power_user,2025-01-07,0.8108373353831881,0.9338969241897161,0.9206758608684835,,10.153703525349068,prof_006,timer,5_questions,no_notification
u_00034,power_user,2025-01-10,0.8506516949883275,0.9688884795986545,0.8831412299866591,,12.752394548019259,prof_001,timer,5_questions,no_notification
u_00035,power_user,2025-01-11,0.8199301377214137,0.9076692821567601,0.9208076361440686,,12.707560937290468,prof_008,timer,3_questions,notification
